reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_S5.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,-0.6651117370750512,5.431798275933005,6.096910013008056,0,12,12,lig_S5,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_44.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,0.6064247967304128,6.703334809738469,6.096910013008056,1,12,12,lig_44,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_18.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,0.5051499783199063,6.6020599913279625,6.096910013008056,2,12,12,lig_18,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_34.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,0.8616973018337184,6.958607314841775,6.096910013008056,3,12,12,lig_34,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_19.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,0.7569619513137056,6.853871964321762,6.096910013008056,4,12,12,lig_19,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_41.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,1.014349026309051,7.111259039317107,6.096910013008056,5,12,12,lig_41,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_3.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,-0.5740312677277188,5.522878745280337,6.096910013008056,6,12,12,lig_3,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_38.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,1.4482451269834336,7.54515513999149,6.096910013008056,7,12,12,lig_38,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_S8.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,-0.4771212547196626,5.619788758288394,6.096910013008056,8,12,12,lig_S8,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_2.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,-0.41912930774197577,5.6777807052660805,6.096910013008056,9,12,12,lig_2,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_40.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,0.9208187539523758,7.017728766960432,6.096910013008056,10,12,12,lig_40,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_43.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,1.0165992618194615,7.113509274827518,6.096910013008056,11,12,12,lig_43,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_42.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,0.4914702810287137,6.58838029403677,6.096910013008056,13,12,13,lig_42,lig_1
1,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_15.pkl,/home/yujie/leadopt/data/selection_graph/FGFR2/FGFR2_lig_1.pkl,0.0,6.096910013008056,6.096910013008056,14,12,14,lig_15,lig_1
