reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num
1,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7n.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,0.9253663817030962,6.022276394711152,5.096910013008056,18,10,18,lig_7n,lig_7p
1,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7a.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,-1.1383026981662812,3.958607314841775,5.096910013008056,4,10,10,lig_7a,lig_7p
1,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7m.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,0.9488474775526186,6.045757490560675,5.096910013008056,14,10,14,lig_7m,lig_7p
1,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7h.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,-0.9084850188786495,4.188424994129407,5.096910013008056,8,10,10,lig_7h,lig_7p
1,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7o.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,0.8239087409443187,5.920818753952375,5.096910013008056,5,10,10,lig_7o,lig_7p
1,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7l.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,0.9253663817030962,6.022276394711152,5.096910013008056,11,10,11,lig_7l,lig_7p
1,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_11c.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,-0.6019242530921636,4.494985759915893,5.096910013008056,15,10,15,lig_11c,lig_7p
1,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7k.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,-0.5256925245050104,4.571217488503046,5.096910013008056,7,10,10,lig_7k,lig_7p
1,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_11b.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,-0.5882717068423293,4.508638306165727,5.096910013008056,17,10,17,lig_11b,lig_7p
2,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7n.pkl,-0.9253663817030962,5.096910013008056,6.022276394711152,10,18,18,lig_7p,lig_7n
2,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7a.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7n.pkl,-2.0636690798693773,3.958607314841775,6.022276394711152,4,18,18,lig_7a,lig_7n
2,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7m.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7n.pkl,0.023481095849522404,6.045757490560675,6.022276394711152,14,18,18,lig_7m,lig_7n
2,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7h.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7n.pkl,-1.8338514005817457,4.188424994129407,6.022276394711152,8,18,18,lig_7h,lig_7n
2,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7o.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7n.pkl,-0.1014576407587775,5.920818753952375,6.022276394711152,5,18,18,lig_7o,lig_7n
2,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7l.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7n.pkl,0.0,6.022276394711152,6.022276394711152,11,18,18,lig_7l,lig_7n
2,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_11c.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7n.pkl,-1.5272906347952597,4.494985759915893,6.022276394711152,15,18,18,lig_11c,lig_7n
2,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7k.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7n.pkl,-1.4510589062081065,4.571217488503046,6.022276394711152,7,18,18,lig_7k,lig_7n
2,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_11b.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7n.pkl,-1.5136380885454255,4.508638306165727,6.022276394711152,17,18,18,lig_11b,lig_7n
3,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7p.pkl,/home/yujie/leadopt/data/selection_graph/HO1/HO1_lig_7a.pkl,1.1383026981662812,5.096910013008056,3.958607314841775,10,4,10,lig_7p,lig_7a
