reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_11.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,0.7501225267834002,10.096910013008056,9.346787486224656,0,16,16,lig_11,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_13.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.14612803567823818,9.200659450546418,9.346787486224656,2,16,16,lig_13,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_23.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.17286228892548472,9.173925197299171,9.346787486224656,4,16,16,lig_23,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_10.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.14612803567823818,9.200659450546418,9.346787486224656,6,16,16,lig_10,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_12.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-4.1773761549098,5.169411331314856,9.346787486224656,7,16,16,lig_12,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_16.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.7617608341954742,8.585026652029182,9.346787486224656,8,16,16,lig_16,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_9.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.18563657696191171,9.161150909262744,9.346787486224656,9,16,16,lig_9,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_7.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.14612803567823818,9.200659450546418,9.346787486224656,15,16,16,lig_7,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_6.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.38021124171160636,8.96657624451305,9.346787486224656,18,16,18,lig_6,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_8.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.5772364076029302,8.769551078621726,9.346787486224656,19,16,19,lig_8,lig_21
2,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_11.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_22.pkl,0.665111737075053,10.096910013008056,9.431798275933003,0,11,11,lig_11,lig_22
