reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_5.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-1.5228787452803374,7.823908740944319,9.346787486224656,3,16,16,lig_5,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_22.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,0.08501078970834719,9.431798275933003,9.346787486224656,11,16,16,lig_22,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_20.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.14612803567823818,9.200659450546418,9.346787486224656,10,16,16,lig_20,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_19.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.14612803567823818,9.200659450546418,9.346787486224656,13,16,16,lig_19,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_17.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,-0.17929639893089266,9.167491087293763,9.346787486224656,1,16,16,lig_17,lig_21
1,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_24.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,0.6989700043360205,10.045757490560677,9.346787486224656,5,16,16,lig_24,lig_21
2,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_21.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_5.pkl,1.5228787452803374,9.346787486224656,7.823908740944319,16,3,16,lig_21,lig_5
2,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_22.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_5.pkl,1.6078895349886846,9.431798275933003,7.823908740944319,11,3,11,lig_22,lig_5
2,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_20.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_5.pkl,1.3767507096020992,9.200659450546418,7.823908740944319,10,3,10,lig_20,lig_5
2,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_19.pkl,/home/yujie/leadopt/data/selection_graph/LRRK2/LRRK2_lig_5.pkl,1.3767507096020992,9.200659450546418,7.823908740944319,13,3,13,lig_19,lig_5
