reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_23.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.1563472008599236,6.045757490560675,5.889410289700751,13,37,37,lig_23,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_38.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.1105897102992488,6.0,5.889410289700751,16,37,37,lig_38,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_32.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.6634316789570294,6.552841968657781,5.889410289700751,24,37,37,lig_32,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_43.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.2472668501787929,6.136677139879544,5.889410289700751,26,37,37,lig_43,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_39.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.7883704155653293,6.6777807052660805,5.889410289700751,18,37,37,lig_39,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_42.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.24135799056827256,6.130768280269024,5.889410289700751,11,37,37,lig_42,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_18.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.45737719652390485,6.346787486224656,5.889410289700751,17,37,37,lig_18,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_16.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.4030195342013121,6.292429823902063,5.889410289700751,14,37,37,lig_16,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_29.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.2472668501787929,6.136677139879544,5.889410289700751,5,37,37,lig_29,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_20.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.39458636666444935,6.2839966563652006,5.889410289700751,15,37,37,lig_20,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_27.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.33243845991560494,6.221848749616356,5.889410289700751,1,37,37,lig_27,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_6.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.6792259461402619,6.568636235841013,5.889410289700751,0,37,37,lig_6,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_24.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.2976763536563931,6.187086643357144,5.889410289700751,9,37,37,lig_24,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_15.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.4671370338130618,6.356547323513813,5.889410289700751,34,37,37,lig_15,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_31.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.2976763536563931,6.187086643357144,5.889410289700751,29,37,37,lig_31,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_26.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.8801407889209747,6.769551078621726,5.889410289700751,19,37,37,lig_26,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_28.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.3044097363153613,6.1938200260161125,5.889410289700751,6,37,37,lig_28,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_37.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.9344984512435675,6.823908740944319,5.889410289700751,10,37,37,lig_37,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_35.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.5920757704213617,6.481486060122113,5.889410289700751,21,37,37,lig_35,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_33.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,-0.2873502983727887,5.6020599913279625,5.889410289700751,31,37,37,lig_33,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_22.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,-0.11985921107902531,5.769551078621726,5.889410289700751,28,37,37,lig_22,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_36.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.42039363027073495,6.309803919971486,5.889410289700751,27,37,37,lig_36,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_14.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.8553172051959423,6.7447274948966935,5.889410289700751,35,37,37,lig_14,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_1.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.6054397319793425,6.494850021680094,5.889410289700751,32,37,37,lig_1,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_40.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.7126497016272113,6.6020599913279625,5.889410289700751,20,37,37,lig_40,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_19.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.20749972330730504,6.096910013008056,5.889410289700751,30,37,37,lig_19,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_17.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,-0.10689423391465702,5.782516055786094,5.889410289700751,25,37,37,lig_17,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_34.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.2654916702849919,6.154901959985743,5.889410289700751,22,37,37,lig_34,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_41.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,-0.14468279480405766,5.7447274948966935,5.889410289700751,12,37,37,lig_41,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_13.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.5920757704213617,6.481486060122113,5.889410289700751,4,37,37,lig_13,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_12.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.7681670294770422,6.657577319177793,5.889410289700751,7,37,37,lig_12,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_21.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.03140846425162369,5.920818753952375,5.889410289700751,33,37,37,lig_21,lig_30
1,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_46.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,0.7126497016272113,6.6020599913279625,5.889410289700751,8,37,37,lig_46,lig_30
2,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_30.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_23.pkl,-0.1563472008599236,5.889410289700751,6.045757490560675,37,13,37,lig_30,lig_23
2,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_38.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_23.pkl,-0.045757490560674796,6.0,6.045757490560675,16,13,16,lig_38,lig_23
2,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_32.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_23.pkl,0.5070844780971058,6.552841968657781,6.045757490560675,24,13,24,lig_32,lig_23
2,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_43.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_23.pkl,0.09091964931886931,6.136677139879544,6.045757490560675,26,13,26,lig_43,lig_23
2,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_39.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_23.pkl,0.6320232147054057,6.6777807052660805,6.045757490560675,18,13,18,lig_39,lig_23
2,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_42.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_23.pkl,0.08501078970834897,6.130768280269024,6.045757490560675,11,13,13,lig_42,lig_23
2,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_18.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_23.pkl,0.30102999566398125,6.346787486224656,6.045757490560675,17,13,17,lig_18,lig_23
2,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_16.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_23.pkl,0.2466723333413885,6.292429823902063,6.045757490560675,14,13,14,lig_16,lig_23
2,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_29.pkl,/home/yujie/leadopt/data/selection_graph/PSK13/PSK13_lig_23.pkl,0.09091964931886931,6.136677139879544,6.045757490560675,5,13,13,lig_29,lig_23
