reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num
1,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_21.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_6.pkl,0.0,10.657577319177792,10.657577319177792,7,11,11,lig_21,lig_6
1,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_27.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_6.pkl,0.041392685158228915,10.69897000433602,10.657577319177792,14,11,14,lig_27,lig_6
1,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_28.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_6.pkl,-1.4284293308199363,9.229147988357855,10.657577319177792,16,11,16,lig_28,lig_6
1,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_29.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_6.pkl,-0.46375729316167913,10.193820026016112,10.657577319177792,18,11,18,lig_29,lig_6
1,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_25.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_6.pkl,-1.019305155195383,9.638272163982409,10.657577319177792,20,11,20,lig_25,lig_6
2,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_21.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_12.pkl,0.9714445395469458,10.657577319177792,9.686132779630846,7,13,13,lig_21,lig_12
2,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_27.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_12.pkl,1.0128372247051747,10.69897000433602,9.686132779630846,14,13,14,lig_27,lig_12
2,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_28.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_12.pkl,-0.4569847912729905,9.229147988357855,9.686132779630846,16,13,16,lig_28,lig_12
2,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_29.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_12.pkl,0.5076872463852666,10.193820026016112,9.686132779630846,18,13,18,lig_29,lig_12
2,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_25.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_12.pkl,-0.04786061564843713,9.638272163982409,9.686132779630846,20,13,20,lig_25,lig_12
3,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_21.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_2.pkl,0.17609125905567957,10.657577319177792,10.481486060122112,7,5,7,lig_21,lig_2
3,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_27.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_2.pkl,0.2174839442139085,10.69897000433602,10.481486060122112,14,5,14,lig_27,lig_2
3,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_28.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_2.pkl,-1.2523380717642567,9.229147988357855,10.481486060122112,16,5,16,lig_28,lig_2
3,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_29.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_2.pkl,-0.28766603410599956,10.193820026016112,10.481486060122112,18,5,18,lig_29,lig_2
3,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_25.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_2.pkl,-0.8432138961397033,9.638272163982409,10.481486060122112,20,5,20,lig_25,lig_2
4,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_21.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_26.pkl,0.24864192620429115,10.657577319177792,10.4089353929735,7,12,12,lig_21,lig_26
4,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_27.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_26.pkl,0.29003461136252007,10.69897000433602,10.4089353929735,14,12,14,lig_27,lig_26
4,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_28.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_26.pkl,-1.1797874046156451,9.229147988357855,10.4089353929735,16,12,16,lig_28,lig_26
4,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_29.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_26.pkl,-0.21511536695738798,10.193820026016112,10.4089353929735,18,12,18,lig_29,lig_26
4,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_25.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_26.pkl,-0.7706632289910917,9.638272163982409,10.4089353929735,20,12,20,lig_25,lig_26
5,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_21.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_39.pkl,0.10473535052001104,10.657577319177792,10.55284196865778,7,19,19,lig_21,lig_39
5,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_27.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_39.pkl,0.14612803567823995,10.69897000433602,10.55284196865778,14,19,19,lig_27,lig_39
5,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_28.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_39.pkl,-1.3236939802999252,9.229147988357855,10.55284196865778,16,19,19,lig_28,lig_39
5,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_29.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_39.pkl,-0.3590219426416681,10.193820026016112,10.55284196865778,18,19,19,lig_29,lig_39
5,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_25.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_39.pkl,-0.9145698046753719,9.638272163982409,10.55284196865778,20,19,20,lig_25,lig_39
6,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_21.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_5.pkl,0.3979400086720357,10.657577319177792,10.259637310505756,7,15,15,lig_21,lig_5
6,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_27.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_5.pkl,0.43933269383026463,10.69897000433602,10.259637310505756,14,15,15,lig_27,lig_5
6,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_28.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_5.pkl,-1.0304893221479006,9.229147988357855,10.259637310505756,16,15,16,lig_28,lig_5
6,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_29.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_5.pkl,-0.06581728448964341,10.193820026016112,10.259637310505756,18,15,18,lig_29,lig_5
6,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_25.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_5.pkl,-0.6213651465233472,9.638272163982409,10.259637310505756,20,15,20,lig_25,lig_5
7,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_21.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_3.pkl,0.20164536352806728,10.657577319177792,10.455931955649724,7,3,7,lig_21,lig_3
7,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_27.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_3.pkl,0.2430380486862962,10.69897000433602,10.455931955649724,14,3,14,lig_27,lig_3
7,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_28.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_3.pkl,-1.226783967291869,9.229147988357855,10.455931955649724,16,3,16,lig_28,lig_3
7,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_29.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_3.pkl,-0.26211192963361185,10.193820026016112,10.455931955649724,18,3,18,lig_29,lig_3
7,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_25.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_3.pkl,-0.8176597916673156,9.638272163982409,10.455931955649724,20,3,20,lig_25,lig_3
8,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_21.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_23.pkl,0.10473535052001104,10.657577319177792,10.55284196865778,7,2,7,lig_21,lig_23
8,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_27.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_23.pkl,0.14612803567823995,10.69897000433602,10.55284196865778,14,2,14,lig_27,lig_23
8,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_28.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_23.pkl,-1.3236939802999252,9.229147988357855,10.55284196865778,16,2,16,lig_28,lig_23
8,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_29.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_23.pkl,-0.3590219426416681,10.193820026016112,10.55284196865778,18,2,18,lig_29,lig_23
8,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_25.pkl,/home/yujie/leadopt/data/selection_graph/WDR5/WDR5_lig_23.pkl,-0.9145698046753719,9.638272163982409,10.55284196865778,20,2,20,lig_25,lig_23
